sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"As previously reported , Eastern , locked in a longstanding labor - management feud , has contracted with Orion Air , a unit of Primark Corp . , to provide pilots to fly Eastern aircraft should contract talks end in a strike ",1,32,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church ",1,18,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"Peace in the Persian Gulf , if it sticks , may elevate Iraq as the new petroleum powerhouse , keeping a lid on oil prices in the short term and possibly reshaping political alliances in the Arab bloc over the long term ",1,8,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
"John Matt , a 25-year - old stock - index options trader , started riding his bicycle to work to save money , then could n't afford to replace it when it was stolen ",0,14,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"'' The day that trade pressures evaporate , { Airbus 's } interest in McDonnell Douglas cooperation is over , '' says one U.S. aerospace executive ",0,6,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
"As a result , Drexel is plowing more money into leveraged buy - outs , employee buy - outs and other friendly transactions ",0,6,plow,verb,"Turn up the earth of (an area of land) with a plough, especially before sowing.",Uncle Vic ploughed his garden
He adds : '' To die in defense of one 's country is one thing ; to die unnecessarily because of a defect in a product is quite another . ',0,17,die,verb,"(of a person, animal, or plant) stop living.",he died of tuberculosis
"The federal judge , while backing the pill last week , has left open the possibility he might strike it down at a later date under different conditions ",0,18,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"'' While physicians should never directly cause death , they must always act in the best interest of their patients and that sometimes includes allowing them to die , '' Dr. Sammons said in a statement ",0,27,die,verb,"(of a person, animal, or plant) stop living.",he died of tuberculosis
"While workers struck three plants , the company locked out about 1 , 200 workers at a fourth plant , in Mobile , Ala ",0,2,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"These waters are full of the fish , mollusks and small crustaceans that lobsters like to eat ",0,16,eat,verb,Put (food) into the mouth and chew and swallow it.,he was eating a hot dog
"A Dr. E '' examined a horse that had warts on its forelegs , '' begins one item in the newsletter , which withholds names of vets and patients ",0,4,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab - Israeli conflict boiling so long ",0,13,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"A major part of the sale proceeds will be used to repay about US $ 225 million in National Bank debt owed to the Brunei government and more than 40 international creditors , mainly banks that lent to National Bank before it was seized and closed by Brunei in November 1986 ",0,36,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"The indictment also charges that Mr. Frankel , 32 , and Mr. Yagoda , 44 , committed perjury and obstruction of justice when they testified before the SEC in 1986 , and that Mr. Frankel further attempted to obstruct the SEC 's investigation when he directed a co - conspirator at Drexel to destroy certain documents ",0,53,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"That got the IDB 's attention , but we now wonder about the administration 's strategy for winning a greater say in where and to whom the IDB lends money ",0,28,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"Among the possibilities considered by investigators : The suspect claimants might have posed as heirs , or even as missing shareholders in their own right , though they were n't on the original list provided by the company ",0,19,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
The mishap killed a flight attendant ,0,2,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"Airborne , he grabs a roll of money from his back pocket and punches it toward the camera ",0,3,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
"The issue first surfaced after Willie Horton , a first - degree murderer on life sentence without parole who had been on 10 successful furloughs , escaped in 1986 and was arrested in April 1987 and charged with the brutal assault of a Maryland couple ",0,26,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
"The route generates about $ 120 million in revenue for United , which has been flying it since 1983 ",0,15,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
"The plan calls for Ferruzzi Finanziaria , the family holding company that controls the Ferruzzi - Montedison group and is now closely held , to absorb Iniziativa Me . T.A. unit in a stock swap ",0,25,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
This was not the first occasion when Sandinistas have pursued Contras across an ill - defined frontier and sought to destroy the Contra bases ,0,20,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"One morning , he finds that the staff was able to turn back young fans trying to get up to Mick Jagger 's suite and that a pipe broke and flooded room 928 , which luckily was unoccupied ",0,30,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"One branch of Superior Training Services , an Indianapolis - based career - school chain , showed $ 24 million in defaults , or 44 % of the money lent to its students , in a state governments ' study ",0,29,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"Meanwhile , prices in parts of the North that missed the boom might start rising ",0,9,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
Hiring British bankers is helping Japanese financial institutions develop lending business with medium - sized corporate borrowers ,0,9,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"Pitching a baseball , it was agreed , is akin to striking a golf ball in that it is a complex act that only looks simple ",0,11,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
Suggest someone else grab a mitt and squat awhile ,0,3,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste - to - energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa ",0,8,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"For that , Dillard needs to study hard , retailing analysts and consultants say , because the small cities where Dillard has flourished are n't much of a training ground for the markets it wants to enter ",0,22,flourish,verb,"(of a living organism) grow or develop in a healthy or vigorous way, especially as the result of a particularly congenial environment.",wild plants flourish on the banks of the lake
"An Agence France Press dispatch on August 8 reported that an Afghan air force plane was shot down by a Pakistani F-16 while attacking Afghan refugee camps 30 kilometers inside Pakistan territory , near Miram Shah ",0,23,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"But the Army stumbled in getting the project off the ground , and by the time the Army was nearing key decisions on the project , Defense Secretary Frank Carlucci 's budget ax fell ",0,3,stumble,verb,Trip or momentarily lose one's balance; almost fall.,her foot caught in the rug and she stumbled
"'' Nothing less than targeted , mandated reductions in acid - rain emissions in the U.S . '' will satisfy Canada , Mr. Mulroney said in his prepared remarks ",0,4,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"To ride the next wave of orders in the extended boom time manufacturers expect , McDonnell is trying to capitalize on an edge it will have in the 1990s over Boeing : the ability to produce a plane powered by fuel - efficient '' prop - fan '' engines ",0,1,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"The solvent , methyl tert - butyl ether , has been known for some time to dissolve gallstones but has n't been widely used because it had to be pumped into the gallbladder by a hand syringe for several hours while the patient was under general anesthesia ",0,29,pump,verb,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
"But David Bartholomew , an assistant vice president of Merrill Lynch , says that over a 12-year period he examined , Mr. Finckle 's six - month forecasts were 85 % accurate ",0,19,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"Last July , Ohio and Colorado raised a white flag , putting Wyoming in the unfortunate position of being the only place in the country where 19- and 20-year - olds could drink legally ",0,32,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
His native caution strikes a responsive chord with the average German ,0,3,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"'' And available funds are being plowed into mortar , brick and tar , '' says chief of research David Swenson ",0,6,plow,verb,"Turn up the earth of (an area of land) with a plough, especially before sowing.",Uncle Vic ploughed his garden
"For Koppers , selling off part of its construction - materials business is seen as crucial , because no matter how it decides to improve upon Beazer 's bid , it is likely to absorb considerable debt ",0,34,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"Last March , Judge Alex Kozinski of the appeals court in San Francisco struck down a San Francisco plan earmarking 30 % of city contracts for minority - owned businesses and 10 % for firms owned by women ",0,13,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
Equity capital is the clearest picture of a bank 's net worth and its ability to absorb additional losses ,0,16,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"'' Heineken has been hurt seriously since it became fashionable to drink Corona , '' says Frank Walters , research director for the liquor industry newsletter Impact ",0,11,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"The Medical Letter , a respected nonprofit publication that evaluates the effectiveness of drugs for doctors , concluded that Actigall can dissolve gallstones in only about half of patients ",0,21,dissolve,verb,(with reference to a solid) become or cause to become incorporated into a liquid so as to form a solution.,glucose dissolves easily in water
"He is stepping down this month to write a book , but Bill Bennett is more interesting even at political twilight than most cabinet officers are at high noon ",0,2,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party ",0,6,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been targeted because of his central role in sustaining the world 's '' imperialist '' financial system ",0,26,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"Mr. Tassin 's new team will be filled out by Stephen Gardner , 28 , and Christopher Kreidler , 24 , who were hired during the past year to work with the group ",0,7,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"One can not help but be absorbed by portions of Mr. Bouwsma 's diligent labor , but readers should be warned that the Calvin of this book is presented not as a dramatic heretic , but as a rather schematic schismatic ",0,6,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
Based on the evidence from the early contests -- including a surprisingly strong second - place finish in last weekend 's Maine caucuses -- his populist crusade against '' economic violence '' is striking a chord among some Democrats beyond his black base ,0,33,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
A revenue passenger mile is one paying passenger flown one mile ,0,8,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
"One simply ca n't prevent rural Africans from moving , with their ravenous cattle , onto lands too poor to support heavy grazing once the threat of bovine sleeping sickness is removed ",0,28,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"Men , women and children are crammed into barracks painted institution - yellow inside and sleep two to a four - by - six - foot bunk , arranged in triple tiers ",0,15,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then - President Chun Doo Hwan ",0,20,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"F.W. Christian , a traveler and writer of the 19th century , said that , after drinking sakau , '' the head remains clear but the legs sometime suffer a temporary paralysis . '",0,16,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"Lone Star Industries Inc. says its new cement , Pyrament , is so durable and fast - drying that an airplane can land on it four hours after it is poured , and so versatile it can be poured in almost any temperature ",0,38,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
Whether that should be welcome news or cause for alarm depends on one 's confidence in the ability of Congress to write rules for markets without destroying them ,0,26,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all - black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy ",0,22,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"Foreign and domestic buyers poured into the market at the outset of trading on continued strength in the dollar and the widely held belief that interest rates are headed lower , said Frederick Leiner , a futures analyst with Prudential - Bache Securities Inc . , Chicago ",0,4,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light ,0,5,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
New graffiti appear in Bogota declaring : '' Be patriotic -- kill a communist '' or '' Communism and Commission on Human Rights -- they 're the same thing . ',0,11,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off ",0,12,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
Others say they still can drink wine even after their livers are too far gone to handle spirits ,0,5,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
Company officials have yet to make a full report on the missing inventory that hurt third - quarter results ,0,11,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
Wo n't fill a cardboard box ,0,2,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"And with no individual or group coming forward to fill the vacuum , '' no one knows how or when order and government will be restored . '",0,9,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"Merrill O. Burns , an executive vice president of Manufacturers Hanover Corp . , was named a director of this utility , filling a vacancy ",0,22,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
Free riding occurs when a member of an underwriting account withholds part of a public offering and then resells it at a profit ,0,1,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"Meanwhile , stay out of the sun to avoid skin cancer and do n't eat shellfish , which may have red tide ",0,14,eat,verb,Put (food) into the mouth and chew and swallow it.,he was eating a hot dog
"Carole Pfeffer put an ad seeking them in a trade publication and was flooded with close to 1 , 000 pictures ",0,13,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start melting steel in a new 500-worker I - beam mill at Blytheville , Ark . , on the Mississippi ",0,17,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"One of the contracts prosecutors are examining -- the development job for the Navy 's carrier - based advanced tactical aircraft -- was subject to a '' best and final offer , '' known as a BAFO , and then a '' best and revised final offer , '' known as a BARFO . Investigators are looking at whether Melvyn Paisley improperly steered the multibillion - dollar job to McDonnell Douglas Corp. and General Dynamics Corp. while he was assistant Navy secretary ",0,6,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"Citibank has examined several Texas banks , but thus far has decided that it did n't have enough confidence in the short - term Texas outlook to take the plunge ",0,2,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"Even so , Mr. Babbitt wo n't miss the rigors of the road ",0,7,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
"Eric Johnson , the researcher , found that it also destroys certain kinds of botulism ",0,10,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"TV viewers saw Mr. Chancellor being dragged out of the 1964 Republican convention in San Francisco when , during a live interview , he refused to clear an aisle ",0,6,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
"Creating the special food solved the problem of what he could eat on future flights , but supplying fare for astronauts seemed limited as a business concept ",0,11,eat,verb,Put (food) into the mouth and chew and swallow it.,he was eating a hot dog
"The department 's Commodity Credit Corp. has flooded the market with corn '' to contain the damage to the livestock sector from rising prices or a shortage of feed , '' said Ewen Wilson , assistant agriculture secretary for economics ",0,7,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"I would n't want my kid to ride in one , '' he says ",0,7,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"By spreading the benefits of economic development into depressed regions , Massachusetts economic policy has attacked structural unemployment ",0,15,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"By January 1993 , societies would be able to lend 25 % of their assets for such nontraditional purposes as commercial property development and unsecured personal loans ",0,9,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"Sen. Brock Adams -LRB- D . , Wash. -RRB- attacked what he called '' sweatshop conditions '' in some labs ",0,9,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"Walter Single , a recovering alcoholic , recalls that on a daily diet of nine pints of Wild Irish Rose , he still was able '' to function well enough to panhandle the money he needed to drink all day and still have enough left for a wake - up in the morning . '",0,37,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"Two young women in the front seat were n't wearing belts , but escaped without permanent injuries ",0,13,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
"Instead , improved earnings flowed in large part from last year 's decision to reintroduce a five - stick , 25-cent pack of sugared gum ",0,4,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"Mr. Quayle , who stood with one foot resting on the base of his lectern , found himself on risky ground when he boasted , '' We are producing Hondas and exporting Hondas to Japan . '",0,8,rest,verb,"Cease work or movement in order to relax, sleep, or recover strength.",he needed to rest after the feverish activity
'' Brazil is planting on about half of the land they can plant on ,0,12,plant,verb,"Put (a seed, bulb, or plant) in the ground so that it can grow.",we planted a lot of fruit trees
"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago ",0,23,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"Five years ago , a North Korean bomb killed 17 high - ranking South Korean government officials who were on a state visit to Rangoon , Burma ",0,8,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low - end products that companies have tried to launch in the past 20 years mostly have bombed . -RRB-/-R",0,2,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"Mr. Grauer added , '' The commission totally missed the point ",0,8,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
"They subsist on freeze - dried foods , patch their own wounds and sleep on the ground ",0,13,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"Meanwhile , though , we may ask what will happen to dance back here , where the facilities Brussels has offered Mr. Morris , including a $ 1.5 million annual budget , are apparently not to be thought of ",0,11,dance,verb,"Move rhythmically to music, typically following a set sequence of steps.",their cheeks were pressed together as they danced
'' But who 's going to roll the dice ? ',0,6,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
A revenue passenger mile is one paying passenger flown one mile ,0,8,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
Both praise this ad for its clean identification of an issue that matters to an audience targeted by the Democrats ,0,16,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"Heating - oil futures , currently experiencing little demand because of a strike in New York harbor , had been riding high early in the heating season ",0,6,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
'' We drank a lot of tea . ',0,2,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"Yet in Arkansas , lending to small local businesses is the bank 's primary mission ",0,4,lend,verb,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
"Sir Nicholas , who presided over many changes at the exchange , helped lay the foundation for the '' Big Bang '' deregulation of Britain 's securities markets by agreeing to end fixed commissions and other rules ",0,32,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
"But industry lobbyists argued successfully that reconstituting spent plastic containers into such alternative products as flower pots , drainpipes , synthetic lumber , and filling for pillows and sleeping bags should count against the recycling targets ",0,24,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
The picture painted in the annual report shows one of the nation 's largest banking corporations besieged by problems that it seems unable to control ,0,16,besiege,verb,Surround (a place) with armed forces in order to capture it or force its surrender.,the king marched north to besiege Berwick
It really is a shame the famous old astrologer and Reagan friend Carroll Righter died last week and missed all this ,0,18,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
Mr. Hauke says he discovered that in Philadelphia when he smelled glue in a car and later found fresh glue and fibers sticking to his pants ,0,22,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
"But a KKR spokesman , saying the RJR - Shearson group would sell more RJR assets in a takeover than KKR , denied any such plan : '' They think we want to destroy Atlanta ",0,33,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"And although the firm has become involved in some hostile transactions in recent years , its representation of a major unsolicited bid by a foreign concern struck some takeover professionals as unusual ",0,26,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"As the water runs down , it leaches salt from the earth and carries it to the Mother of Poisons , where water evaporates in the searing sun , crystallizing the salt in a thick white crust on the surface ",0,23,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
"The regulations urge employers with a large staff of women to provide appropriate sanitary equipment , rooms for pregnant women to rest , and nurseries and kindergartens ",0,21,rest,verb,"Cease work or movement in order to relax, sleep, or recover strength.",he needed to rest after the feverish activity
It even regulates where kites can be flown and how candy should be displayed in markets -- and fines offenders ,0,7,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
We begged his mother for months to let us take him into Nha Trang and have it fixed ,0,17,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
It actually demonstrated its ability to destroy target drones in flight ,0,6,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"But if he is viewed after New Hampshire as the genuine right - wing article , it may start to flow ",0,20,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"Vitro Corp . , a unit of Penn Central Corp . , won a $ 22.3 million Navy contract for shipboard missile targeting equipment ",0,22,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"If we hesitate to let teen - agers drink until they 're 21 , why entrust them with shaping the fate of the Republic at 18 ",0,8,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"What about the recent story that did show a corpse ? -LRB- '' Portrait of Evil , '' was about a man who killed his parents . -RRB-/-R",0,23,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"The pores permit carbon dioxide released by the respiring produce to escape the package , while allowing only small amounts of oxygen to enter . -LRB- Air is 21 % oxygen . -RRB-/-R",0,11,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
"Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production ",0,5,plant,verb,"Put (a seed, bulb, or plant) in the ground so that it can grow.",we planted a lot of fruit trees
"So far , the rare discovery of aflatoxin in the Midwest two weeks ago has only served to slow the normal drop in corn futures prices that comes as the harvest flows into hundreds of grain elevators , and they in turn sell futures contracts at the Chicago Board of Trade in order to hedge their purchases from farmers ",0,31,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"For $ 12 , Dr. Cartwright sells T - shirts with four little pockets sewn in to hold tennis balls that make it uncomfortable to sleep on the back ",0,25,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"Mr. Shamir spent Tu Bishvat planting a tree at a Jewish settlement on the occupied West Bank , where he said he expected the settlement movement to grow and flourish ",0,5,plant,verb,"Put (a seed, bulb, or plant) in the ground so that it can grow.",we planted a lot of fruit trees
"Iran retaliated by firing two missiles that struck Baghdad , killing or injuring an unspecified number of people ",0,7,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"But by 1985 the boom was over , and sales had withered to $ 100 million ",0,11,wither,verb,(of a plant) become dry and shrivelled.,the grass had withered to an unappealing brown
"Every day his troops gather under the green , red and black banner of black nationalism and pour out a stream of racial abuse ",0,17,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"If the Federal Energy Regulatory Commission approves the plan , Panhandle will have escaped a total of about $ 4 billion in take - or - pay contract liabilities ",0,13,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
Recovery efforts off the coast of Florida had been delayed while the workers pumped toxic gases from the 30-year - old vessel ,0,13,pump,verb,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
These grants are the public finance equivalent of a lottery for state and local governments that continually fix the odds in their favor of obtaining one ,0,17,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
"'' We believe the person who is working on the line , making our ice cream , filling the pints , is a very important person , '' Mr. Cohen says ",0,17,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
'' The record contains affidavits from several former employees who were given severance benefits in spite of the fact that they did not miss any work . ',0,23,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
"'' It is better for a pitchman to die than to be caught alive in a scandal , '' contends Albert Lerman , chief creative officer at D'Arcy Masius Benton & Bowles in St. Louis , whose clients include Anheuser - Busch Cos ",0,8,die,verb,"(of a person, animal, or plant) stop living.",he died of tuberculosis
"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0,17,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"A recent study by HHS for the first time examines how many Americans use such treatments , as well as the kinds of '' cures '' they try ",0,9,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"'' People in Washington touch cheek - to - cheek quite often , '' says Effi Barry , wife of the city 's mayor , Marion Barry Jr ",0,4,touch,verb,Come into or be in contact with.,he leaned back so that only two legs of his chair touched the floor
"Alfred Goldman , a market strategist with A.G. Edwards & Sons in St. Louis , said with the move in the industrial average beyond its old high , some money managers were probably gripped by the '' classic fear of missing the boat , '' and they scrambled to buy some stocks late in the day ",0,40,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
"The last Volkswagen made in North America has rolled off the assembly line , but it is n't for sale ",0,8,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
And the black middle class has flourished in the past 20 years as opportunities in various professions have opened up ,0,6,flourish,verb,"(of a living organism) grow or develop in a healthy or vigorous way, especially as the result of a particularly congenial environment.",wild plants flourish on the banks of the lake
"After all , like any worthwhile hero , Fred was struggling -- to be a good father , to make movies , to reconcile his fantasy life with the domesticity he 'd settled into , to stay in shape and still drink lots of Budweiser ",0,41,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"Less fortunate are cotton growers in Chinandega , ranchers near Leon and other private producers who must operate in the government - controlled formal economy that is ensnared in the red tape of paper work , acreage allotments , distribution regulations and fixed prices ",0,42,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
